Order ID,Order Date,Customer Name,Order Type,Total Quantity,Perfume Oils Quantity,Perfume Oils Bottle Sizes,Unit Price(Perfume Oil),Body Splashes Quantity,Unit Price (Body Splashes),Boxed Perfume Quantity,Boxed Perfume(Unit Price),Total Price,Payment Method,Shipping Method,Shipping Cost,Order Status
88,2025-04-10 00:00:00,Holly Wood,Wholesale,66,21,30ml,72.37,26,32.7,19,92.98,4136.59,Mobile Money,Delivery,,Complete
89,2025-02-09 00:00:00,Derek Zuniga,Retail,5,3,50ml nozzle(Preorder),149.77,2,27.45,,,504.21,Cash,Pick Up,,Complete
90,2025-01-21 00:00:00,Nana Akua Lawyer,Wholesale,144,15,3ml,5.46,80,26.11,49,94.2,6846.5,Bank Transfer,Delivery,60,Complete
91,2025-01-11 00:00:00,Lisa Jackson,Wholesale,23,21,30ml,60.08,,,2,92.1,1445.88,Bank Transfer,Delivery,,Complete
92,2025-02-03 00:00:00,Carla Gray,Retail,10,9,15ml,38.06,1,30.18,,,422.72,Cash,Delivery,50,Complete
93,2025-02-24 00:00:00,Margaret Hawkins DDS,Retail,8,5,3ml,10.77,,,3,99.89,388.52,Bank Transfer,Delivery,35,Complete
94,2025-06-06 00:00:00,Patty Perez,Wholesale,95,8,15ml,30.34,31,25.45,56,67.11,4789.83,Cash,Pick Up,,Complete
95,2025-06-04 00:00:00,Ethan Adams,Wholesale,147,76,6ml,10.07,13,33.13,58,81.45,6000.11,Cash,Delivery,80,Complete
96,2025-04-19 00:00:00,Tommy Walter,Retail,4,2,30ml,85.02,2,33.44,,,271.92,Bank Transfer,Delivery,35,Complete
97,2025-05-24 00:00:00,Matthew Foster,Wholesale,6,2,50ml nozzle(Preorder),133.69,1,20.75,3,59.81,467.56,Cash,Pick Up,,Complete
98,2025-01-11 00:00:00,Amanda,Wholesale,145,9,50ml,109.59,94,25.31,42,31.01,4667.87,Cash,Pick Up,,Complete
99,2025-02-15 00:00:00,Judy Baker,Wholesale,69,13,50ml,141.76,22,24.91,34,72.69,4932.36,Mobile Money,Delivery,70,Complete
100,2025-02-10 00:00:00,Justin Baker,Wholesale,51,47,30ml,83.28,2,32.69,2,86.37,4152.28,Cash,Pick Up,,Complete
101,2025-06-18 00:00:00,Stephanie Ross,Wholesale,103,4,6ml,8.97,60,33.61,39,53.18,4196.5,Mobile Money,Delivery,70,Complete
102,2025-01-08 00:00:00,Iddris,Retail,2,1,50ml nozzle(Preorder),125.47,1,29.55,,,155.02,Cash,Pick Up,,Complete
103,2025-02-18 00:00:00,Bob,Wholesale,73,4,50ml,98.15,13,30.39,56,50.58,3620.15,Bank Transfer,Delivery,,Complete
104,2025-06-09 00:00:00,Zachary Hicks,Retail,1,,,,1,25.33,,,25.33,Cash,Pick Up,,Complete
105,2025-06-20 00:00:00,Anthony Rodriguez,Wholesale,82,64,50ml nozzle(Preorder),96.55,9,24.84,9,49.29,6916.37,Cash,Delivery,70,Complete
106,2025-04-30 00:00:00,Rebecca Henderson,Wholesale,83,51,15ml,30.38,,,32,58.95,3435.78,Cash,Pick Up,,Complete
107,2025-01-24 00:00:00,James Ferrell,Wholesale,136,121,50ml nozzle(Preorder),75.51,5,26.76,10,73.57,10006.21,Cash,Pick Up,,Complete
108,2025-06-11 00:00:00,Tricia Valencia,Wholesale,85,28,6ml,8.09,51,18.79,6,98.84,1777.85,Cash,Delivery,,Complete
109,2025-02-15 00:00:00,Nathan Maldonado,Retail,8,6,6ml,19.15,,,2,28.4,231.7,Mobile Money,Delivery,60,Complete
110,2025-06-20 00:00:00,Debra Davidson,Retail,1,,,,,,1,60.87,60.87,Cash,Pick Up,,Complete
111,2025-03-08 00:00:00,Jeffrey Chavez,Retail,8,8,50ml,120.13,,,,,1021.04,Cash,Delivery,60,Complete
112,2025-03-02 00:00:00,Sherri Baker,Retail,9,7,6ml,12.67,2,19.32,,,127.33,Cash,Pick Up,,Complete
113,2025-03-26 00:00:00,Cassandra Gaines,Retail,9,1,6ml,11.93,2,29.8,6,78.86,604.69,Cash,Delivery,60,Complete
114,2025-05-03 00:00:00,Elizabeth Fowler,Retail,1,,,,1,24.62,,,24.62,Cash,Delivery,,Complete
115,2025-06-21 00:00:00,Blessing,Retail,7,6,30ml,84.39,,,1,59.38,625.72,Cash,Delivery,60,Complete
116,2025-06-01 00:00:00,Brittany Farmer,Retail,3,3,50ml,128.07,,,,,384.21,Cash,Pick Up,,Complete
117,2025-02-24 00:00:00,Paula Moreno,Wholesale,27,20,6ml,20.25,6,21.09,1,46.73,578.27,Cash,Pick Up,,Complete
118,2025-06-16 00:00:00,Fred Smith,Retail,7,4,15ml,47.52,3,26,,,318.08,Mobile Money,Delivery,50,Complete
119,2025-03-07 00:00:00,Zoe,Wholesale,69,25,50ml,70.78,1,20.15,43,76.2,5066.25,Bank Transfer,Delivery,,Complete
120,2025-04-12 00:00:00,Sherry Decker,Wholesale,35,10,3ml,9.94,9,33.79,16,69.46,1514.87,Cash,Pick Up,,Complete
121,2025-03-30 00:00:00,Anthony Humphrey,Wholesale,25,18,3ml,10.94,3,23.13,4,77.27,575.39,Mobile Money,Delivery,,Complete
122,2025-01-28 00:00:00,Angelica Tucker,Retail,2,2,3ml,13.83,,,,,27.66,Cash,Pick Up,,Complete
123,2025-04-30 00:00:00,Philip Cannon,Retail,8,2,6ml,20.47,3,34.41,3,47.45,286.52,Cash,Pick Up,,Complete
124,2025-03-04 00:00:00,John Pierce,Retail,6,6,3ml,9.38,,,,,56.28,Cash,Pick Up,,Complete
125,2025-03-29 00:00:00,Shane Henderson,Retail,6,,,,3,32.47,3,41.09,270.68,Cash,Delivery,50,Complete
126,2025-05-06 00:00:00,Joshua Blair,Retail,9,,,,8,34.12,1,34.16,307.12,Cash,Pick Up,,Complete
127,2025-06-19 00:00:00,Eric Carney,Wholesale,127,125,3ml,5.83,1,21.77,1,77.81,828.33,Cash,Pick Up,,Complete
128,2025-06-29 00:00:00,Jessica Holmes,Retail,9,8,30ml,99.93,1,27.36,,,826.8,Cash,Pick Up,,Complete
129,2025-05-04 00:00:00,Danny Morgan,Retail,5,1,50ml nozzle(Preorder),109.63,,,4,36.61,296.07,Mobile Money,Delivery,40,Complete
130,2025-03-12 00:00:00,Crystal Robinson,Retail,2,,,,1,21.87,1,40.92,62.79,Mobile Money,Delivery,,Complete
131,2025-05-03 00:00:00,Zoe,Retail,3,3,3ml,11.68,,,,,35.04,Cash,Pick Up,,Complete
132,2025-05-25 00:00:00,Mark Perez,Wholesale,19,8,3ml,12,7,24.81,4,33.33,442.99,Mobile Money,Delivery,40,Complete
133,2025-04-26 00:00:00,Shannon Jones,Wholesale,69,15,30ml,76.61,35,31.44,19,44.25,3090.3,Cash,Pick Up,,Complete
134,2025-06-19 00:00:00,Michael Lewis,Retail,10,6,50ml,135.89,2,28.36,2,81.29,1074.64,Cash,Delivery,40,Complete
135,2025-03-14 00:00:00,Ella A,Wholesale,147,19,3ml,8.5,40,29.72,88,61.83,6861.34,Cash,Delivery,70,Complete
136,2025-05-20 00:00:00,Timothy Duncan,Retail,2,2,15ml,46.82,,,,,153.64,Mobile Money,Delivery,60,Complete
137,2025-04-23 00:00:00,Richard Aguirre,Wholesale,74,18,3ml,6.44,4,23.23,52,81.92,4468.68,Cash,Pick Up,,Complete
138,2025-03-24 00:00:00,Irene B,Retail,5,4,30ml,81.61,1,18.68,,,345.12,Cash,Pick Up,,Complete
139,2025-05-28 00:00:00,Brent Jordan,Wholesale,29,7,50ml,112.95,21,18.35,1,83.06,1259.06,Cash,Pick Up,,Complete
140,2025-04-15 00:00:00,May,Retail,9,7,6ml,24.95,1,25.41,1,86.63,346.69,Cash,Delivery,60,Complete
141,2025-03-22 00:00:00,John Daniel,Wholesale,47,21,50ml nozzle(Preorder),102.21,13,29.26,13,56.83,3325.58,Mobile Money,Delivery,60,Complete
142,2025-04-03 00:00:00,Victoria Garcia,Wholesale,109,65,50ml nozzle(Preorder),126.51,,,44,61.26,10988.59,Bank Transfer,Delivery,70,Complete
143,2025-04-23 00:00:00,Gerald Hensley,Retail,8,,,,3,22.54,5,37.43,254.77,Cash,Pick Up,,Complete
144,2025-05-22 00:00:00,Connor West,Retail,2,,,,2,28.35,,,96.7,Cash,Delivery,40,Complete
145,2025-05-11 00:00:00,Sandra C,Wholesale,63,14,3ml,10.52,29,20.62,20,95.15,2648.26,Cash,Pick Up,,Complete
146,2025-04-17 00:00:00,Donald Wright,Retail,8,7,30ml,91.03,,,1,55.62,727.83,Cash,Delivery,35,Complete
147,2025-02-08 00:00:00,Jessica Callahan,Retail,1,1,50ml,132.19,,,,,132.19,Cash,Pick Up,,Complete
148,2025-04-09 00:00:00,Amber Kidd,Retail,6,2,50ml,113.95,4,33.86,,,403.34,Bank Transfer,Delivery,40,Complete
149,2025-04-09 00:00:00,Tracy House,Retail,1,1,50ml nozzle(Preorder),145.67,,,,,145.67,Cash,Pick Up,,Complete
150,2025-01-26 00:00:00,Carol Tucker,Wholesale,132,9,50ml,149.64,16,23.64,107,35.23,5494.61,Cash,Pick Up,,Complete
151,2025-03-09 00:00:00,James Brown,Retail,1,,,,1,32.81,,,67.81,Cash,Delivery,35,Complete
152,2025-05-19 00:00:00,William Baker,Retail,2,1,15ml,44.4,1,33.09,,,77.49,Cash,Pick Up,,Complete
153,2025-06-27 00:00:00,Amanda,Wholesale,79,29,3ml,8.71,47,19.67,3,73.63,1397.97,Mobile Money,Delivery,,Complete
154,2025-05-25 00:00:00,Jordan Henderson,Wholesale,17,10,15ml,31.85,,,7,59.01,731.57,Cash,Delivery,,Complete
155,2025-06-13 00:00:00,Whitney Peters,Wholesale,49,11,50ml,140.47,5,28.54,33,45.34,3234.09,Cash,Delivery,50,Complete
156,2025-05-31 00:00:00,Brittney Phillips,Retail,1,1,50ml nozzle(Preorder),127.33,,,,,187.33,Cash,Delivery,60,Complete
157,2025-05-27 00:00:00,Lauren Daniels,Retail,5,3,6ml,24.99,1,32.51,1,35.68,143.16,Cash,Pick Up,,Complete
158,2025-01-13 00:00:00,Amy Silva,Retail,5,,,,5,24.73,,,123.65,Bank Transfer,Delivery,,Complete
159,2025-06-23 00:00:00,Sarah Moore,Retail,5,1,15ml,38.29,4,21.23,,,123.21,Cash,Pick Up,,Complete
160,2025-02-03 00:00:00,Angela Lopez,Wholesale,30,28,50ml nozzle(Preorder),72.56,2,31.41,,,2094.5,Cash,Delivery,,Complete
161,2025-02-12 00:00:00,Irene B,Retail,7,2,6ml,21.37,1,32.9,4,54.34,293,Cash,Pick Up,,Complete
162,2025-06-23 00:00:00,Megan Young,Retail,5,5,3ml,10.85,,,,,94.25,Mobile Money,Delivery,40,Complete
163,2025-04-05 00:00:00,Steve Sanchez,Retail,9,5,30ml,80.28,,,4,66.63,667.92,Cash,Pick Up,,Complete
164,2025-06-06 00:00:00,Lisa Barnes,Retail,10,6,3ml,12.46,2,26.02,2,72.61,272.02,Cash,Pick Up,,Complete
165,2025-05-07 00:00:00,Kelly Donovan,Wholesale,124,116,50ml nozzle(Preorder),96.54,4,20.38,4,96.13,11664.68,Cash,Pick Up,,Complete
166,2025-01-26 00:00:00,Ella A,Wholesale,105,58,50ml nozzle(Preorder),131.71,23,29.84,24,66.89,9930.86,Bank Transfer,Delivery,,Complete
167,2025-04-24 00:00:00,Mike Allen,Retail,5,,,,5,24.3,,,121.5,Cash,Pick Up,,Complete
168,2025-01-16 00:00:00,Michael Evans,Retail,2,2,50ml,161.15,,,,,322.3,Cash,Pick Up,,Complete
169,2025-02-02 00:00:00,Paul Jones,Wholesale,37,29,50ml nozzle(Preorder),83.79,1,28.87,7,97.92,3204.22,Mobile Money,Delivery,60,Complete
170,2025-03-12 00:00:00,Zachary Ferrell,Wholesale,23,17,50ml,76.95,1,32.78,5,51.66,1599.23,Mobile Money,Delivery,,Complete
171,2025-03-02 00:00:00,Daniel Baker,Wholesale,39,34,6ml,7.46,2,32.73,3,37.49,431.57,Cash,Pick Up,,Complete
172,2025-04-25 00:00:00,Shirley Suarez,Wholesale,50,16,6ml,18.14,3,26.94,31,81.69,2903.45,Cash,Pick Up,,Complete
173,2025-04-28 00:00:00,Christopher Bass,Wholesale,121,64,50ml,60.21,14,31.31,43,90.42,8179.84,Cash,Pick Up,,Complete
174,2025-01-19 00:00:00,Lisa Archer,Wholesale,21,15,30ml,70.49,6,19.84,,,1176.39,Cash,Pick Up,,Complete
175,2025-04-08 00:00:00,Aimee Montoya,Retail,10,2,6ml,12.68,1,28.76,7,67.48,526.48,Cash,Pick Up,,Complete
176,2025-02-25 00:00:00,Matthew Mcmillan,Retail,8,8,3ml,13.39,,,,,107.12,Bank Transfer,Delivery,,Complete
177,2025-04-06 00:00:00,Brian Rodriguez,Wholesale,111,43,30ml,70.14,58,19.62,10,58.73,4741.28,Cash,Pick Up,,Complete
178,2025-05-23 00:00:00,Denise Jacobs,Retail,2,,,,,,2,34.71,119.42,Mobile Money,Delivery,50,Complete
179,2025-03-21 00:00:00,Nana Kofi B,Retail,2,1,50ml nozzle(Preorder),147.06,1,25.19,,,222.25,Bank Transfer,Delivery,50,Complete
180,2025-01-30 00:00:00,Christina Walters,Wholesale,45,42,6ml,19.92,3,23.95,,,908.49,Cash,Pick Up,,Complete
181,2025-01-08 00:00:00,John Whitehead,Wholesale,115,108,50ml,146.12,,,7,87.72,16395,Cash,Pick Up,,Complete
182,2025-01-18 00:00:00,Irene B,Retail,6,,,,1,32.79,5,68.78,376.69,Cash,Pick Up,,Complete
183,2025-05-26 00:00:00,Kekeli,Wholesale,141,55,30ml,71.42,48,20.68,38,50.44,6837.46,Cash,Pick Up,,Complete
184,2025-04-17 00:00:00,Anna Henderson,Wholesale,45,10,50ml nozzle(Preorder),75.3,3,25.53,32,58.53,2702.55,Cash,Pick Up,,Complete
185,2025-01-12 00:00:00,Aaron Wise,Wholesale,94,55,15ml,38.4,7,28.08,32,65.94,4418.64,Cash,Pick Up,,Complete
186,2025-04-21 00:00:00,Deborah Figueroa,Wholesale,7,3,6ml,18.57,2,30.99,2,48.84,255.37,Cash,Delivery,40,Complete
187,2025-04-20 00:00:00,Akosua B,Wholesale,134,90,30ml,85.3,4,18.72,40,29.35,9005.88,Bank Transfer,Delivery,80,Complete
188,2025-06-26 00:00:00,Jessica Smith,Retail,5,,,,3,18.35,2,51.38,157.81,Cash,Pick Up,,Complete
189,2025-03-28 00:00:00,Stephen Mckee,Wholesale,117,108,6ml,12.96,1,24.81,8,33.66,1693.77,Cash,Pick Up,,Complete
190,2025-02-07 00:00:00,Sandra Aguilar,Wholesale,25,16,50ml,105.47,1,33.4,8,53.16,2196.2,Mobile Money,Delivery,50,Complete
191,2025-05-25 00:00:00,Cameron Parker,Wholesale,45,41,6ml,21.68,,,4,73.21,1181.72,Cash,Pick Up,,Complete
192,2025-01-18 00:00:00,Rebecca Valencia,Retail,10,10,50ml nozzle(Preorder),115.81,,,,,1158.1,Cash,Pick Up,,Complete
193,2025-01-10 00:00:00,Christine Wright,Retail,5,4,15ml,42.61,,,1,50.35,220.79,Cash,Pick Up,,Complete
194,2025-06-16 00:00:00,Irene B,Wholesale,29,19,50ml,93.29,9,27.87,1,96.7,2180.04,Bank Transfer,Delivery,60,Complete
195,2025-01-22 00:00:00,Maame Yaa,Retail,9,2,30ml,82.07,,,7,92.74,813.32,Cash,Pick Up,,Complete
196,2025-04-10 00:00:00,Richard Henson,Wholesale,16,7,30ml,73.82,7,28.37,2,54.2,823.73,Cash,Pick Up,,Complete
197,2025-05-23 00:00:00,Marc Moore,Retail,10,,,,10,29,,,340,Mobile Money,Delivery,50,Complete
198,2025-06-17 00:00:00,Sharon Cherry,Retail,5,5,15ml,36.22,,,,,231.1,Cash,Delivery,50,Complete
199,2025-02-02 00:00:00,Sierra Johnson,Retail,3,,,,2,27.5,1,74.33,129.33,Cash,Pick Up,,Complete
200,2025-02-19 00:00:00,Evelyn Galvan,Wholesale,114,65,3ml,8.11,23,21.06,26,43.42,2140.45,Cash,Pick Up,,Complete
201,2025-06-08 00:00:00,Sharon Cochran,Wholesale,45,4,3ml,9.34,18,27.18,23,81.18,2393.74,Cash,Delivery,,Complete
202,2025-03-14 00:00:00,Akosua B,Wholesale,47,11,50ml nozzle(Preorder),98.45,10,24.98,26,76.7,3386.95,Bank Transfer,Delivery,60,Complete
203,2025-02-19 00:00:00,Richard Rodriguez,Retail,4,4,15ml,49.48,,,,,197.92,Cash,Pick Up,,Complete
204,2025-06-14 00:00:00,Shannon Walker,Retail,8,4,50ml,127.47,3,34.43,1,86.82,749.99,Mobile Money,Delivery,50,Complete
205,2025-04-26 00:00:00,Julia Torres,Retail,9,1,3ml,9.42,8,30.97,,,257.18,Cash,Pick Up,,Complete
206,2025-05-09 00:00:00,Crystal Johnson,Wholesale,117,11,30ml,86.08,28,33.82,78,57.87,6407.7,Cash,Pick Up,,Complete
207,2025-02-07 00:00:00,Garrett Lin,Retail,2,1,3ml,9.69,,,1,35.13,44.82,Cash,Pick Up,,Complete
208,2025-02-25 00:00:00,Irene B,Retail,3,3,50ml,80.47,,,,,276.41,Cash,Delivery,35,Complete
209,2025-01-17 00:00:00,Diana May,Retail,2,1,15ml,36.83,,,1,45.17,82,Cash,Pick Up,,Complete
210,2025-02-17 00:00:00,Akorfa,Wholesale,137,61,15ml,33.3,18,28.45,58,45.32,5171.96,Cash,Pick Up,,Complete
211,2025-01-12 00:00:00,William Herrera,Wholesale,140,92,50ml,108.78,4,31.37,44,64.55,12973.44,Cash,Delivery,,Complete
212,2025-03-03 00:00:00,Ashley Waller,Retail,5,5,15ml,46.83,,,,,234.15,Cash,Pick Up,,Complete
213,2025-06-28 00:00:00,Victor Baker,Wholesale,91,17,15ml,35.69,5,31.83,69,40.61,3567.97,Cash,Pick Up,,Complete
214,2025-05-12 00:00:00,Jeffrey Chandler,Wholesale,40,4,3ml,7.52,29,18.74,7,42.36,930.06,Cash,Delivery,60,Complete
215,2025-01-13 00:00:00,Larry Dixon,Retail,5,,,,5,21.25,,,106.25,Cash,Pick Up,,Complete
216,2025-04-09 00:00:00,Kenneth Scott,Retail,5,,,,2,25.43,3,56.8,221.26,Cash,Pick Up,,Complete
217,2025-06-04 00:00:00,April Frost,Wholesale,133,127,50ml,81.87,2,19.4,4,58.56,10670.53,Cash,Pick Up,,Complete
218,2025-02-12 00:00:00,Michelle Harmon,Wholesale,145,75,3ml,5.72,41,29.24,29,50.07,3079.87,Cash,Pick Up,,Complete
219,2025-06-13 00:00:00,Helen Jones,Retail,8,,,,5,28.45,3,59.32,355.21,Bank Transfer,Delivery,35,Complete
220,2025-04-03 00:00:00,Erin Edwards,Wholesale,13,2,50ml nozzle(Preorder),120.79,9,18.59,2,32.84,474.57,Cash,Pick Up,,Complete
221,2025-04-12 00:00:00,Michelle Evans,Wholesale,45,43,15ml,32.13,1,30.97,1,69.32,1481.88,Cash,Pick Up,,Complete
222,2025-05-13 00:00:00,Jason Powell,Retail,4,,,,,,4,80.97,323.88,Cash,Pick Up,,Complete
223,2025-02-21 00:00:00,Cameron Fisher,Wholesale,73,33,6ml,22.44,28,22.85,12,93.99,2508.2,Cash,Pick Up,,Complete
224,2025-06-20 00:00:00,Amanda,Retail,3,3,50ml nozzle(Preorder),148.38,,,,,445.14,Cash,Pick Up,,Complete
225,2025-02-27 00:00:00,Megan Orr,Wholesale,146,138,15ml,41.95,4,30.1,4,94.77,6368.58,Bank Transfer,Delivery,80,Complete
226,2025-03-21 00:00:00,Nana Akua Lawyer,Wholesale,66,63,15ml,35.86,,,3,54.56,2482.86,Mobile Money,Delivery,60,Complete
227,2025-06-24 00:00:00,Elizabeth Kelley,Retail,9,6,50ml,86.64,3,34.53,,,683.43,Cash,Delivery,60,Complete
228,2025-02-12 00:00:00,Dustin Jordan,Wholesale,147,46,6ml,12.91,98,33.48,3,31.99,4040.87,Cash,Delivery,70,Complete
229,2025-02-02 00:00:00,Ella A,Retail,9,4,15ml,37.94,,,5,96.86,636.06,Cash,Pick Up,,Complete
230,2025-05-25 00:00:00,Mary Marshall,Wholesale,134,43,50ml,70.96,75,29.2,16,79.89,6519.52,Cash,Pick Up,,Complete
231,2025-06-14 00:00:00,Kekeli,Wholesale,17,8,50ml,96.41,3,28.86,6,63.86,1241.02,Cash,Pick Up,,Complete
232,2025-04-17 00:00:00,Daniel Kennedy,Retail,4,3,30ml,81.46,1,19.02,,,263.4,Cash,Pick Up,,Complete
233,2025-04-13 00:00:00,Rebecca Jackson,Wholesale,93,77,15ml,42.16,4,23.43,12,99.14,4529.72,Cash,Pick Up,,Complete
234,2025-04-09 00:00:00,Blessing,Wholesale,87,30,3ml,7.3,29,22.21,28,34.97,1842.25,Cash,Pick Up,,Complete
235,2025-05-08 00:00:00,Jose Schultz,Retail,4,1,50ml,144.9,2,21.23,1,39.47,226.83,Cash,Pick Up,,Complete
236,2025-04-01 00:00:00,Robert Potter,Retail,1,,,,1,26.59,,,66.59,Bank Transfer,Delivery,40,Complete
237,2025-03-09 00:00:00,Irene B,Retail,10,10,15ml,43.05,,,,,490.5,Mobile Money,Delivery,60,Complete
238,2025-05-22 00:00:00,Courtney Gonzalez,Retail,6,,,,3,18.87,3,68.45,261.96,Cash,Pick Up,,Complete
239,2025-04-11 00:00:00,David Alvarez,Retail,9,7,15ml,47.38,2,28.6,,,428.86,Mobile Money,Delivery,40,Complete
240,2025-03-27 00:00:00,Angel Perry,Retail,9,5,6ml,18.24,1,24.82,3,30.9,248.72,Bank Transfer,Delivery,40,Complete
241,2025-06-01 00:00:00,Cheyenne Horton,Retail,3,1,50ml,108.67,1,24.68,1,72.39,205.74,Cash,Pick Up,,Complete
242,2025-06-26 00:00:00,David Douglas Jr.,Retail,10,4,3ml,10.07,3,29.45,3,98.55,424.28,Cash,Pick Up,,Complete
243,2025-02-13 00:00:00,Patricia Rodriguez,Retail,5,5,50ml nozzle(Preorder),102.57,,,,,512.85,Cash,Pick Up,,Complete
244,2025-04-18 00:00:00,Christopher Rubio,Retail,3,1,50ml,165.34,,,2,35.91,297.16,Cash,Delivery,60,Complete
245,2025-05-24 00:00:00,Nana Akua Lawyer,Retail,9,9,50ml nozzle(Preorder),136.37,,,,,1227.33,Mobile Money,Delivery,,Complete
246,2025-06-06 00:00:00,Amber Wright,Retail,9,6,6ml,15.81,2,27.06,1,67.33,216.31,Cash,Pick Up,,Complete
247,2025-05-03 00:00:00,Joyce Solis,Wholesale,77,71,6ml,21.51,2,34.7,4,83.52,1930.69,Cash,Delivery,,Complete
248,2025-03-30 00:00:00,Victoria Larson,Retail,5,,,,4,29.5,1,55.34,173.34,Cash,Pick Up,,Complete
249,2025-02-24 00:00:00,Stephanie Salazar,Wholesale,80,5,50ml nozzle(Preorder),75.14,36,33.71,39,75.23,4523.23,Cash,Pick Up,,Complete
250,2025-01-26 00:00:00,Kathy Rivas,Retail,9,4,3ml,12,1,27.98,4,45.46,297.82,Mobile Money,Delivery,40,Complete
251,2025-05-02 00:00:00,Stephanie Manning,Retail,2,2,3ml,14.72,,,,,89.44,Bank Transfer,Delivery,60,Complete
252,2025-04-17 00:00:00,David Wright,Wholesale,79,41,50ml nozzle(Preorder),73.85,18,31.07,20,74.97,5146.51,Mobile Money,Delivery,60,Complete
253,2025-01-10 00:00:00,Pamela Boyd,Wholesale,15,12,6ml,21.43,3,34.36,,,360.24,Cash,Pick Up,,Complete
254,2025-03-11 00:00:00,Munira,Wholesale,91,36,50ml nozzle(Preorder),105.31,29,26.4,26,95.58,7041.84,Cash,Pick Up,,Complete
255,2025-03-17 00:00:00,Afia A,Retail,3,3,50ml nozzle(Preorder),109.31,,,,,327.93,Cash,Pick Up,,Complete
256,2025-05-03 00:00:00,Denise Jones,Wholesale,50,39,30ml,84.12,10,26.76,1,34.25,3652.53,Mobile Money,Delivery,70,Complete
257,2025-03-19 00:00:00,Devon Flores,Wholesale,7,4,6ml,13.15,3,22.54,,,120.22,Cash,Pick Up,,Complete
258,2025-06-25 00:00:00,Brenda Hall,Wholesale,72,46,6ml,6.65,22,20.01,4,50.09,946.48,Cash,Pick Up,,Complete
259,2025-02-09 00:00:00,Michelle Brown,Retail,2,2,15ml,44.22,,,,,128.44,Cash,Delivery,40,Complete
260,2025-05-16 00:00:00,Joshua Perry,Retail,7,7,6ml,19.57,,,,,136.99,Cash,Delivery,,Complete
261,2025-04-24 00:00:00,Jason Stein,Wholesale,150,28,50ml,143.58,7,21.44,115,66.64,11913.92,Bank Transfer,Delivery,80,Complete
262,2025-04-27 00:00:00,Nana Akua Lawyer,Retail,2,2,3ml,10.74,,,,,21.48,Cash,Pick Up,,Complete
